ENC	GENERO	AMBITO	REGION	EDAD	NIVEL	DISTRITO	PA	PB	P20	PESO2	REGION2
2988021	Masculino	Urbano	Costa Sur	De 26 a 42	C	MOQUEGUA	Moquegua	0	0	1,898521500000000	Sur
2988032	Masculino	Urbano	Lima	De 18 a 25	B	CALLAO	Lima y Callao	Callao	0	0,722194300000000	Lima
2988033	Femenino	Urbano	Lima	De 43 a más	C	SAN MIGUEL	Lima y Callao	Lima	Rafael López Aliaga por Renovación Popular	0,844042600000000	Lima
2988036	Femenino	Urbano	Costa Norte	De 43 a más	C	PIURA	Piura	0	0	1,157352900000000	Norte
2988039	Femenino	Urbano	Sierra Sur	De 26 a 42	C	ANDAHUAYLAS	Apurímac	0	0	1,432073600000000	Sur
2988040	Masculino	Urbano	Sierra Sur	De 26 a 42	B	ANDAHUAYLAS	Apurímac	0	0	1,280949800000000	Sur
2988050	Femenino	Urbano	Lima	De 18 a 25	C	BREÑA	Lima y Callao	Lima	No precisa	0,844042600000000	Lima
2988069	Femenino	Urbano	Costa Norte	De 26 a 42	C	NUEVO CHIMBOTE	Áncash	0	0	1,157352900000000	Norte
2988075	Femenino	Urbano	Lima	De 26 a 42	B	CALLAO	Lima y Callao	Callao	0	0,722194300000000	Lima
2988079	Femenino	Urbano	Costa Norte	De 43 a más	C	PIURA	Piura	0	0	1,157352900000000	Norte
2988085	Masculino	Urbano	Sierra Sur	De 26 a 42	C	SAN JERONIMO	Apurímac	0	0	1,432073600000000	Sur
2988088	Femenino	Rural	Sierra Sur	De 43 a más	E	COTAHUASI	Arequipa	0	0	2,078454000000000	Sur
2988089	Femenino	Rural	Sierra Sur	De 18 a 25	C	COTAHUASI	Arequipa	0	0	0,169093700000000	Sur
2988090	Masculino	Rural	Sierra Sur	De 26 a 42	E	COTAHUASI	Arequipa	0	0	2,078454000000000	Sur
2988091	Femenino	Rural	Sierra Sur	De 26 a 42	C	COTAHUASI	Arequipa	0	0	0,169093700000000	Sur
2988092	Masculino	Rural	Sierra Sur	De 43 a más	C	COTAHUASI	Arequipa	0	0	0,169093700000000	Sur
2988093	Femenino	Rural	Sierra Sur	De 18 a 25	E	COTAHUASI	Arequipa	0	0	2,078454000000000	Sur
2988094	Masculino	Rural	Sierra Sur	De 26 a 42	E	COTAHUASI	Arequipa	0	0	2,078454000000000	Sur
2988097	Masculino	Rural	Sierra Norte	De 43 a más	D	BAMBAMARCA	Cajamarca	0	0	0,722015100000000	Norte
