NOMCCPP	LONGITUDX	LATITUDY
LA MORADA	-77,53313376	-6,95077868
LA MORADA	-77,53313376	-6,95077868
LA MORADA	-77,53313376	-6,95077868
LA MORADA	-77,53313376	-6,95077868
CANAAN	-77,46083649	-6,88629128
CANAAN	-77,46083649	-6,88629128
CANAAN	-77,46083649	-6,88629128
CANAAN	-77,46083649	-6,88629128
CANAAN	-77,46083649	-6,88629128
CANAAN	-77,46083649	-6,88629128
CANAAN	-77,46083649	-6,88629128
CANAAN	-77,46083649	-6,88629128
CANAAN	-77,46083649	-6,88629128
CANAAN	-77,46083649	-6,88629128
MARISCAL BENAVIDES	-77,5028517	-6,385820672
MARISCAL BENAVIDES	-77,5028517	-6,385820672
MARISCAL BENAVIDES	-77,5028517	-6,385820672
MARISCAL BENAVIDES	-77,5028517	-6,385820672
MARISCAL BENAVIDES	-77,5028517	-6,385820672
MARISCAL BENAVIDES	-77,5028517	-6,385820672
MARISCAL BENAVIDES	-77,5028517	-6,385820672
MARISCAL BENAVIDES	-77,5028517	-6,385820672
MARISCAL BENAVIDES	-77,5028517	-6,385820672
MARISCAL BENAVIDES	-77,5028517	-6,385820672
MARISCAL BENAVIDES	-77,5028517	-6,385820672
MARISCAL BENAVIDES	-77,5028517	-6,385820672
MARISCAL BENAVIDES	-77,5028517	-6,385820672
MARISCAL BENAVIDES	-77,5028517	-6,385820672
MARISCAL BENAVIDES	-77,5028517	-6,385820672
CHIMBOTE	-78,5838594	-9,047683938
CHIMBOTE	-78,5838594	-9,047683938
CHIMBOTE	-78,5838594	-9,047683938
CHIMBOTE	-78,5838594	-9,047683938
CHIMBOTE	-78,5838594	-9,047683938
CHIMBOTE	-78,5838594	-9,047683938
CHIMBOTE	-78,5838594	-9,047683938
CHIMBOTE	-78,5838594	-9,047683938
CHIMBOTE	-78,5838594	-9,047683938
CHIMBOTE	-78,5838594	-9,047683938
CHIMBOTE	-78,58153194	-9,058449627
CHIMBOTE	-78,58153194	-9,058449627
CHIMBOTE	-78,58153194	-9,058449627
CHIMBOTE	-78,58153194	-9,058449627
CHIMBOTE	-78,58153194	-9,058449627
CHIMBOTE	-78,58153194	-9,058449627
CHIMBOTE	-78,58153194	-9,058449627
CHIMBOTE	-78,58153194	-9,058449627
CHIMBOTE	-78,58153194	-9,058449627
CHIMBOTE	-78,58153194	-9,058449627
CHIMBOTE	-78,58153194	-9,058449627
CHIMBOTE	-78,59652826	-9,073720747
CHIMBOTE	-78,59652826	-9,073720747
CHIMBOTE	-78,59652826	-9,073720747
CHIMBOTE	-78,59652826	-9,073720747
CHIMBOTE	-78,59652826	-9,073720747
CHIMBOTE	-78,59652826	-9,073720747
CHIMBOTE	-78,59652826	-9,073720747
CHIMBOTE	-78,59652826	-9,073720747
CHIMBOTE	-78,59652826	-9,073720747
CHIMBOTE	-78,59652826	-9,073720747
CHIMBOTE	-78,59652826	-9,073720747
CHIMBOTE	-78,59652826	-9,073720747
CHIMBOTE	-78,59652826	-9,073720747
CHIMBOTE	-78,58381252	-9,075169633
CHIMBOTE	-78,58381252	-9,075169633
